PaperCut Print Logger - http://www.papercut.com/,,,,,,,,,,,,,
Time,User,Pages,Copies,Printer,Document Name,Client,Paper Size,Language,Height,Width,Duplex,Grayscale,Size
5/20/2019 10:26,KNK,1,1,EPSON L120 Series,Full page photo,KNK-PC,,EMF,330mm,215mm,NOT DUPLEX,NOT GRAYSCALE,8100kb
5/20/2019 10:28,KNK,1,1,EPSON L120 Series,Full page photo,KNK-PC,,EMF,330mm,215mm,NOT DUPLEX,NOT GRAYSCALE,5356kb
5/20/2019 10:28,KNK,1,1,SHARP AR-6020,Microsoft Word - BADIN,KNK-PC,A5,GDI (Sharp SPLC),,,NOT DUPLEX,GRAYSCALE,34kb
5/20/2019 10:29,KNK,1,1,EPSON L120 Series,Full page photo,KNK-PC,,EMF,330mm,215mm,NOT DUPLEX,NOT GRAYSCALE,1423kb
5/20/2019 10:30,KNK,1,1,SHARP AR-6020,Microsoft Word - cc,KNK-PC,A5,GDI (Sharp SPLC),,,NOT DUPLEX,GRAYSCALE,67kb
5/20/2019 10:57,KNK,1,1,SHARP AR-6020,Microsoft Word - 5,KNK-PC,A5,GDI (Sharp SPLC),,,NOT DUPLEX,GRAYSCALE,29kb
5/20/2019 10:57,KNK,1,1,SHARP AR-6020,Microsoft Word - 4,KNK-PC,A5,GDI (Sharp SPLC),,,NOT DUPLEX,GRAYSCALE,29kb
5/20/2019 10:57,KNK,1,1,SHARP AR-6020,Microsoft Word - 3,KNK-PC,A5,GDI (Sharp SPLC),,,NOT DUPLEX,GRAYSCALE,29kb
5/20/2019 11:04,KNK,1,1,SHARP AR-6020,Microsoft Word - 3 Congressmen re,KNK-PC,A5,GDI (Sharp SPLC),,,NOT DUPLEX,GRAYSCALE,107kb
5/20/2019 13:59,KNK,1,1,SHARP AR-6020,Microsoft Word - condonation,KNK-PC,A5,GDI (Sharp SPLC),,,NOT DUPLEX,GRAYSCALE,26kb
5/20/2019 14:09,KNK,1,1,EPSON L120 Series,Full page photo,KNK-PC,,EMF,330mm,215mm,NOT DUPLEX,NOT GRAYSCALE,31020kb
5/20/2019 16:08,KNK,1,1,EPSON L120 Series,KNK_DAILY_UNDERTAKINGS-6.xlsx,KNK-PC,Letter,EMF,,,NOT DUPLEX,NOT GRAYSCALE,47kb
5/20/2019 16:10,KNK,1,1,EPSON L120 Series,papercut-print-log-2019-05-20.csv,KNK-PC,Letter,EMF,,,NOT DUPLEX,NOT GRAYSCALE,24kb
5/20/2019 18:13,KNK,2,3,EPSON L120 Series,Microsoft Word - Resume,KNK-PC,,EMF,330mm,215mm,NOT DUPLEX,NOT GRAYSCALE,35kb
5/20/2019 22:43,KNK,6,1,EPSON L120 Series,Microsoft Word - can,KNK-PC,Letter,EMF,,,NOT DUPLEX,NOT GRAYSCALE,98521kb
5/20/2019 23:14,KNK,2,4,EPSON L120 Series,New_Application_Adult01 (2).pdf,KNK-PC,,EMF,330mm,215mm,NOT DUPLEX,GRAYSCALE,1928kb
5/20/2019 23:31,KNK,1,1,EPSON L120 Series,KNK_DAILY_UNDERTAKINGS-7.xlsx,KNK-PC,Letter,EMF,,,NOT DUPLEX,NOT GRAYSCALE,46kb
